DealerCode,BPNO,CustomerCode,BPRegion,BPProvince,BP_District,DocNo,DocDate,Rowname,BU,Amount
5100001,10020464,ร-ป-003,ตะวันตก,สมุทรสาคร,บ้านแพ้ว,IV64092109,20210921,FIT PRIMA,ROOF&FITTING,3388.41
5100001,10020464,ร-ป-003,ตะวันตก,สมุทรสาคร,บ้านแพ้ว,IV64010807,20210108,STANDARD,ROOF&FITTING,1608.6
5100001,10020464,ร-ป-003,ตะวันตก,สมุทรสาคร,บ้านแพ้ว,IV64120109,20211201,SUN FASCIA,CEILING&WALL,15057.92
5100001,10020464,ร-ป-003,ตะวันตก,สมุทรสาคร,บ้านแพ้ว,IV64091109,20210911,WOOD ACCESSORIES SCG,ROOF C&W ACCESSORIES,2513
5100001,10020464,ร-ป-003,ตะวันตก,สมุทรสาคร,บ้านแพ้ว,IV64041704,20210417,SMARTBOARD >6 MM.,CEILING&WALL,2339.04
5100001,10020464,ร-ป-003,ตะวันตก,สมุทรสาคร,บ้านแพ้ว,IV64112107,20211121,FITTING EXCELLA CLASSIC,ROOF&FITTING,1034.32
5100001,10020464,ร-ป-003,ตะวันตก,สมุทรสาคร,บ้านแพ้ว,IV64092109,20210921,- COLOR : PRIMA,ROOF&FITTING,26945.8
5100001,10020464,ร-ป-003,ตะวันตก,สมุทรสาคร,บ้านแพ้ว,IV64072006,20210720,GENERAL PLASTER  (BAG),MORTAR,2505.24
5100001,10020464,ร-ป-003,ตะวันตก,สมุทรสาคร,บ้านแพ้ว,IV64082804,20210828,WOOD ACCESSORIES SCG,ROOF C&W ACCESSORIES,4308
5100001,10020464,ร-ป-003,ตะวันตก,สมุทรสาคร,บ้านแพ้ว,IV64030910,20210309,PAINT FOR COLOR MIXING MACHINE,HIP,6066.1299999999992
5100001,10020464,ร-ป-003,ตะวันตก,สมุทรสาคร,บ้านแพ้ว,IV64110105,20211101,SUN BOARD <6 MM.,CEILING&WALL,8253
5100001,10020464,ร-ป-003,ตะวันตก,สมุทรสาคร,บ้านแพ้ว,IV64010807,20210108,CPAC FITTING,ROOF&FITTING,920.14
